 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1   22   19    53.890364   0.64  27.36  54.88    1.5435E-02    5.0290E-05
    1   23   20    54.136721   0.64  27.36  54.88    1.5401E-02    4.6381E-05
    1   25   22    54.568953   0.64  27.36  54.88    1.5341E-02    3.9866E-05
    1   26   23    54.759587   0.64  27.36  54.88    1.5314E-02    3.6923E-05
    1   28   25    55.099183   0.64  27.36  54.88    1.5267E-02    3.2087E-05
    1   29   26    55.251076   0.64  27.36  54.88    1.5246E-02    2.9925E-05
    1   31   28    55.524936   0.64  27.36  54.88    1.5208E-02    2.6127E-05
    1   32   29    55.648806   0.64  27.36  54.88    1.5191E-02    2.4520E-05
    1   34   31    55.874334   0.64  27.36  54.88    1.5160E-02    2.1534E-05
    1   35   32    55.977280   0.64  27.36  54.88    1.5146E-02    2.0252E-05
    1   37   34    56.166234   0.64  27.36  54.88    1.5119E-02    1.7892E-05
    1   38   35    56.253145   0.64  27.36  54.88    1.5107E-02    1.6861E-05
    1   40   37    56.413753   0.64  27.36  54.88    1.5085E-02    1.4959E-05
    1   41   38    56.488104   0.64  27.36  54.88    1.5075E-02    1.4116E-05
    1   43   40    56.626301   0.64  27.36  54.88    1.5056E-02    1.2580E-05
    1   44   41    56.690631   0.64  27.36  54.88    1.5047E-02    1.1884E-05
    1   46   43    56.810802   0.64  27.36  54.88    1.5031E-02    1.0626E-05
    1   47   44    56.867009   0.64  27.36  54.88    1.5023E-02    1.0052E-05
    1   49   46    56.972465   0.64  27.36  54.88    1.5008E-02    9.0289E-06
    1   50   47    57.021995   0.64  27.36  54.88    1.5002E-02    8.5323E-06
    1   52   49    57.115283   0.64  27.36  54.88    1.4989E-02    7.7015E-06
    1   53   50    57.159260   0.64  27.36  54.88    1.4983E-02    7.2412E-06
    1   55   52    57.242370   0.64  27.36  54.88    1.4971E-02    6.5613E-06
    1   56   53    57.281678   0.64  27.36  54.88    1.4966E-02    6.1908E-06
    1   58   55    57.356191   0.64  27.36  54.88    1.4956E-02    5.5850E-06
    1   59   56    57.391536   0.64  27.36  54.88    1.4951E-02    5.3758E-06
    1   61   58    57.458720   0.64  27.36  54.88    1.4942E-02    4.7715E-06
    1   62   59    57.490672   0.64  27.36  54.88    1.4937E-02    4.5886E-06
    1   64   61    57.551557   0.64  27.36  54.88    1.4929E-02    4.1974E-06
    1   65   62    57.580583   0.64  27.36  54.88    1.4925E-02    3.9512E-06
    1   67   64    57.636016   0.64  27.36  54.88    1.4918E-02    3.5442E-06
    1   68   65    57.662500   0.64  27.36  54.88    1.4914E-02    3.3365E-06
    1   70   67    57.713181   0.64  27.36  54.88    1.4907E-02    3.1139E-06
    1   71   68    57.737443   0.64  27.36  54.88    1.4904E-02    2.9101E-06
    1   73   70    57.783959   0.64  27.36  54.88    1.4897E-02    2.5791E-06
    1   74   71    57.806267   0.64  27.36  54.88    1.4895E-02    2.5991E-06
    1   76   73    57.849110   0.64  27.36  54.88    1.4889E-02    2.3165E-06
    1   77   74    57.869692   0.64  27.36  54.88    1.4886E-02    2.1348E-06
    1   79   76    57.909281   0.64  27.36  54.88    1.4881E-02    2.0641E-06
    1   80   77    57.928329   0.64  27.36  54.88    1.4878E-02    2.0119E-06
    1   82   79    57.965021   0.64  27.36  54.88    1.4873E-02    1.6656E-06
    1   83   80    57.982700   0.64  27.36  54.88    1.4870E-02    1.5577E-06
    1   85   82    58.016803   0.64  27.36  54.88    1.4866E-02    1.6498E-06
    1   86   83    58.033255   0.64  27.36  54.88    1.4864E-02    1.5192E-06
    1   88   85    58.065033   0.64  27.36  54.88    1.4859E-02    1.2129E-06
    1   89   86    58.080383   0.64  27.36  54.88    1.4857E-02    1.3263E-06
    1   91   88    58.110065   0.64  27.36  54.88    1.4853E-02    1.2393E-06
    1   92   89    58.124419   0.64  27.36  54.88    1.4851E-02    1.0032E-06
    1   94   91    58.152207   0.64  27.36  54.88    1.4848E-02    1.0781E-06
