 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1   33   29    54.518832   0.91  11.97  36.97    1.4742E-02    2.1610E-05
    1   35   31    54.804927   0.91  11.97  36.97    1.4680E-02    1.8560E-05
    1   37   33    55.059465   0.91  11.97  36.97    1.4625E-02    1.5864E-05
    1   39   35    55.287395   0.91  11.97  36.97    1.4576E-02    1.3510E-05
    1   41   37    55.492687   0.91  11.97  36.97    1.4533E-02    1.1644E-05
    1   43   39    55.678553   0.91  11.97  36.97    1.4493E-02    9.9508E-06
    1   45   41    55.847628   0.91  11.97  36.97    1.4458E-02    8.3962E-06
    1   47   43    56.002090   0.91  11.97  36.97    1.4425E-02    7.3261E-06
    1   49   45    56.143756   0.91  11.97  36.97    1.4396E-02    6.6711E-06
    1   51   47    56.274152   0.91  11.97  36.97    1.4369E-02    6.0716E-06
    1   53   49    56.394573   0.91  11.97  36.97    1.4344E-02    4.9243E-06
    1   55   51    56.506121   0.91  11.97  36.97    1.4321E-02    3.8698E-06
    1   57   53    56.609743   0.91  11.97  36.97    1.4299E-02    3.6217E-06
    1   59   55    56.706254   0.91  11.97  36.97    1.4280E-02    3.6506E-06
    1   61   57    56.796362   0.91  11.97  36.97    1.4261E-02    3.1372E-06
    1   63   59    56.880685   0.91  11.97  36.97    1.4244E-02    2.3707E-06
    1   65   61    56.959761   0.91  11.97  36.97    1.4228E-02    1.9469E-06
    1   67   63    57.034066   0.91  11.97  36.97    1.4213E-02    2.2934E-06
    1   69   65    57.104020   0.91  11.97  36.97    1.4199E-02    1.7538E-06
    1   71   67    57.169993   0.91  11.97  36.97    1.4185E-02    1.4849E-06
    1   73   69    57.232317   0.91  11.97  36.97    1.4173E-02    1.2746E-06
    1   75   71    57.291285   0.91  11.97  36.97    1.4160E-02    1.0220E-06
    1   77   73    57.347162   0.91  11.97  36.97    1.4150E-02    1.4823E-06
    1   79   75    57.400184   0.91  11.97  36.97    1.4139E-02    6.6028E-07
    1   81   77    57.450566   0.91  11.97  36.97    1.4128E-02    6.0277E-07
    1   83   79    57.498499   0.91  11.97  36.97    1.4120E-02    9.4052E-07
    1   85   81    57.544157   0.91  11.97  36.97    1.4110E-02    3.1186E-07
    1   87   83    57.587700   0.91  11.97  36.97    1.4101E-02    5.6102E-07
    1   89   85    57.629270   0.91  11.97  36.97    1.4093E-02    6.5099E-07
    1   91   87    57.668999   0.91  11.97  36.97    1.4085E-02    2.3825E-07
    1   93   89    57.707006   0.91  11.97  36.97    1.4078E-02    6.0189E-07
    1   95   91    57.743402   0.91  11.97  36.97    1.4070E-02    2.9468E-07
    1   97   93    57.778285   0.91  11.97  36.97    1.4063E-02    3.5125E-07
    1   99   95    57.811750   0.91  11.97  36.97    1.4057E-02    5.3631E-07
    1    6    1    17.996567   0.91  11.97  36.97    1.7702E-02    1.1743E-04
    1    7    2    25.777758   0.91  11.97  36.97    1.9074E-02    4.8242E-04
    1    8    3    30.901390   0.91  11.97  36.97    2.0294E-02    2.0164E-04
    1    9    4    34.607388   0.91  11.97  36.97    2.0110E-02    4.8792E-04
    1   11    6    39.670062   0.91  11.97  36.97    1.8712E-02    1.6175E-04
    1   12    7    41.486013   0.91  11.97  36.97    1.8158E-02    2.4429E-04
    1   13    8    42.992061   0.91  11.97  36.97    1.7706E-02    1.8664E-04
    1   14    9    44.262250   0.91  11.97  36.97    1.7334E-02    1.2108E-04
    1   16   11    46.288415   0.91  11.97  36.97    1.6763E-02    1.1326E-04
    1   17   12    47.109886   0.91  11.97  36.97    1.6540E-02    8.9338E-05
    1   18   13    47.834114   0.91  11.97  36.97    1.6348E-02    9.4260E-05
    1   19   14    48.477490   0.91  11.97  36.97    1.6180E-02    7.6108E-05
    1   21   16    49.570614   0.91  11.97  36.97    1.5901E-02    6.5185E-05
    1   22   17    50.038928   0.91  11.97  36.97    1.5784E-02    5.4495E-05
    1   23   18    50.464614   0.91  11.97  36.97    1.5679E-02    4.9683E-05
    1   24   19    50.853254   0.91  11.97  36.97    1.5585E-02    4.7081E-05
    1   26   21    51.537238   0.91  11.97  36.97    1.5421E-02    3.7683E-05
    1   27   22    51.839776   0.91  11.97  36.97    1.5349E-02    3.5017E-05
    1   28   23    52.119916   0.91  11.97  36.97    1.5283E-02    3.1034E-05
    1   29   24    52.380061   0.91  11.97  36.97    1.5223E-02    2.8916E-05
    1   31   26    52.848371   0.91  11.97  36.97    1.5115E-02    2.4060E-05
    1   32   27    53.059892   0.91  11.97  36.97    1.5067E-02    2.2346E-05
    1   33   28    53.258210   0.91  11.97  36.97    1.5022E-02    2.0552E-05
    1   34   29    53.444526   0.91  11.97  36.97    1.4980E-02    1.8749E-05
    1   36   31    53.785264   0.91  11.97  36.97    1.4904E-02    1.6186E-05
    1   37   32    53.941457   0.91  11.97  36.97    1.4869E-02    1.4881E-05
    1   38   33    54.089222   0.91  11.97  36.97    1.4836E-02    1.3771E-05
    1   39   34    54.229223   0.91  11.97  36.97    1.4805E-02    1.2650E-05
    1   41   36    54.488259   0.91  11.97  36.97    1.4749E-02    1.0945E-05
    1   42   37    54.608317   0.91  11.97  36.97    1.4723E-02    1.0106E-05
    1   43   38    54.722668   0.91  11.97  36.97    1.4698E-02    9.4806E-06
    1   44   39    54.831710   0.91  11.97  36.97    1.4674E-02    8.5638E-06
    1   46   41    55.035281   0.91  11.97  36.97    1.4630E-02    7.4715E-06
    1   47   42    55.130440   0.91  11.97  36.97    1.4610E-02    7.0212E-06
    1   48   43    55.221558   0.91  11.97  36.97    1.4590E-02    6.6170E-06
    1   49   44    55.308885   0.91  11.97  36.97    1.4572E-02    5.9227E-06
    1   51   46    55.473080   0.91  11.97  36.97    1.4537E-02    5.0507E-06
    1   52   47    55.550356   0.91  11.97  36.97    1.4520E-02    5.0172E-06
    1   53   48    55.624666   0.91  11.97  36.97    1.4505E-02    4.7354E-06
    1   54   49    55.696177   0.91  11.97  36.97    1.4489E-02    4.0063E-06
    1   56   51    55.831411   0.91  11.97  36.97    1.4461E-02    3.4960E-06
    1   57   52    55.895412   0.91  11.97  36.97    1.4448E-02    3.4924E-06
